learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
3.29E7,187.03125,8.645583223551517E-4,3.29E7,99.04961702127659,98.05188089447874,98.05150503656373,97.74728522350632,3.29E7,2.5565176E7,10327.0,6385.0,6385.0,15.0,3919.564375297666,0.0,1.0196638743139954
3.3E7,188.21875,8.72422860961201E-4,3.3E7,99.05134545454546,98.05542495043058,98.05509060724617,97.75138566720975,3.3E7,2.560012E7,10339.0,6391.0,6391.0,15.0,3928.5958378970427,0.0,1.0196140969909735
3.31E7,188.90625,8.769827791386185E-4,3.31E7,99.05316314199396,98.05916459924345,98.05878721445508,97.75575131556542,3.31E7,2.5638152E7,10352.0,6399.0,6399.0,15.0,3928.5958378970427,0.0,1.0196140969909735
3.32E7,189.59375,8.815464778389372E-4,3.32E7,99.05477409638554,98.06247630600994,98.06210849191265,97.75960576657621,3.32E7,2.5659408E7,10360.0,6403.0,6403.0,15.0,3928.5958378970427,0.0,1.0196140969909735
3.33E7,190.3125,8.86323655269937E-4,3.33E7,99.05641741741742,98.06584286996825,98.06549142642433,97.76349377074796,3.33E7,2.569188E7,10375.0,6412.0,6412.0,15.0,3928.5958378970427,0.0,1.0196140969909735
3.34E7,191.015625,8.910020450841536E-4,3.34E7,99.0580508982036,98.06919075875545,98.06885144812357,97.76736548900617,3.34E7,2.571972E7,10389.0,6422.0,6422.0,15.0,3928.5958378970427,0.0,1.0196140969909735
3.35E7,191.71875,8.95681500098565E-4,3.35E7,99.0597223880597,98.0726129241822,98.07229884511611,97.7713088481288,3.35E7,2.5725576E7,10405.0,6433.0,6433.0,15.0,3928.5958378970427,0.0,1.0196140969909735
3.36E7,192.453125,9.005737564681724E-4,3.36E7,99.06139583333334,98.07604473462041,98.07573326551612,97.77528149967998,3.36E7,2.5750976E7,10423.0,6445.0,6445.0,15.0,3928.5958378970427,0.0,1.0196140969909735
3.37E7,193.125,9.050584317042705E-4,3.37E7,99.06309198813055,98.07952083989348,98.07920007003352,97.77929964150238,3.37E7,2.5801496E7,10434.0,6452.0,6452.0,15.0,3928.5958378970427,0.0,1.0196140969909735
3.38E7,193.8125,9.096508777454604E-4,3.38E7,99.06479585798816,98.08301530327108,98.08268895566509,97.78334650520084,3.38E7,2.582104E7,10443.0,6458.0,6458.0,15.0,3928.5958378970427,0.0,1.0196140969909735
3.39E7,194.546875,9.145616415318935E-4,3.39E7,99.06642772861358,98.08636845952601,98.08604231049911,97.78724862701547,3.39E7,2.5848392E7,10447.0,6460.0,6460.0,15.0,3928.5958378970427,0.0,1.0196140969909735
3.4E7,195.78125,9.228259311445684E-4,3.4E7,99.0681,98.08979973721976,98.08947784351213,97.7912300163396,3.4E7,2.5879792E7,10473.0,6476.0,6476.0,15.0,3919.278567016677,0.0,1.0196422177506796
3.41E7,196.484375,9.275452453099817E-4,3.41E7,99.06979765395894,98.09327179334211,98.09296133376733,97.79522144019064,3.41E7,2.5944704E7,10489.0,6487.0,6487.0,15.0,3919.278567016677,0.0,1.0196422177506796
3.42E7,197.171875,9.321646530103565E-4,3.42E7,99.07138596491228,98.09652807937552,98.09626536257494,97.79898542338792,3.42E7,2.5972632E7,10501.0,6493.0,6493.0,15.0,3919.278567016677,0.0,1.0196422177506796
3.43E7,197.90625,9.371094192546384E-4,3.43E7,99.07309329446065,98.10003731310032,98.0997670559189,97.8030723500656,3.43E7,2.6027368E7,10525.0,6508.0,6508.0,15.0,3919.278567016677,0.0,1.0196422177506796
3.44E7,198.625,9.419544428884471E-4,3.44E7,99.0747296511628,98.1033901461589,98.10314132188034,97.80694172296595,3.44E7,2.605676E7,10554.0,6524.0,6524.0,15.0,3919.278567016677,0.0,1.0196422177506796
3.45E7,199.375,9.47026084144859E-4,3.45E7,99.07635942028985,98.10673311836621,98.1064783841033,97.81080970417186,3.45E7,2.613904E7,10569.0,6533.0,6533.0,15.0,3919.278567016677,0.0,1.0196422177506796
3.46E7,200.0625,9.5168396439274E-4,3.46E7,99.07802023121387,98.11013899772017,98.10988304151431,97.81475345736204,3.46E7,2.6188944E7,10584.0,6542.0,6542.0,15.0,3919.278567016677,0.0,1.0196422177506796
3.47E7,200.75,9.563477594444222E-4,3.47E7,99.07953314121038,98.11323895377973,98.11301804980869,97.81833318146914,3.47E7,2.62222E7,10600.0,6553.0,6553.0,15.0,3919.278567016677,0.0,1.0196422177506796
3.48E7,201.4375,9.61017446534243E-4,3.48E7,99.08116091954024,98.11657906135072,98.11632409739745,97.82220598527616,3.48E7,2.6255328E7,10613.0,6561.0,6561.0,15.0,3919.278567016677,0.0,1.0196422177506796
3.49E7,202.203125,9.662242463996845E-4,3.49E7,99.08279083094556,98.11992557376115,98.11968130458423,97.82609212374865,3.49E7,2.6287976E7,10632.0,6572.0,6572.0,15.0,3919.278567016677,0.0,1.0196422177506796
3.5E7,203.375,9.742049265898665E-4,3.5E7,99.08447428571428,98.12337349594046,98.12312988185583,97.83007115582093,3.5E7,2.6324552E7,10640.0,6576.0,6576.0,15.0,3926.0352798053527,0.0,1.0196355913375088
3.51E7,204.109375,9.792136822620204E-4,3.51E7,99.08598860398861,98.12647226271245,98.12621839346377,97.83363624485155,3.51E7,2.6364184E7,10659.0,6587.0,6587.0,15.0,3926.0352798053527,0.0,1.0196355913375088
3.52E7,204.8125,9.840162726727111E-4,3.52E7,99.0876221590909,98.12981747209106,98.12952088123242,97.83749435734008,3.52E7,2.640252E7,10679.0,6600.0,6600.0,15.0,3926.0352798053527,0.0,1.0196355913375088
3.53E7,205.515625,9.88824827913454E-4,3.53E7,99.08920963172805,98.1330602248782,98.1327554542632,97.8412101776537,3.53E7,2.6435312E7,10694.0,6609.0,6609.0,15.0,3926.0352798053527,0.0,1.0196355913375088
3.54E7,206.234375,9.93749138336474E-4,3.54E7,99.09079096045198,98.13629864450272,98.13600406087726,97.84494519260276,3.54E7,2.6483168E7,10711.0,6619.0,6619.0,15.0,3926.0352798053527,0.0,1.0196355913375088
3.55E7,206.9375,9.985737909058423E-4,3.55E7,99.09242253521127,98.13964248091425,98.1393456241589,97.8488087592389,3.55E7,2.6523808E7,10725.0,6626.0,6626.0,15.0,3926.0352798053527,0.0,1.0196355913375088
3.56E7,207.640625,0.0010034063830001595,3.56E7,99.09392696629213,98.14272736891692,98.14245565310252,97.85237957544145,3.56E7,2.6567456E7,10739.0,6633.0,6633.0,15.0,3926.0352798053527,0.0,1.0196355913375088
3.57E7,208.34375,0.0010082447303769494,3.57E7,99.09554341736695,98.14603103043906,98.14575421295639,97.85616917627131,3.57E7,2.6599096E7,10753.0,6643.0,6643.0,15.0,3926.0352798053527,0.0,1.0196355913375088
3.58E7,209.03125,0.0010129793294860676,3.58E7,99.09709497206704,98.14920006765185,98.14893809897592,97.85979980481034,3.58E7,2.6620296E7,10766.0,6651.0,6651.0,15.0,3926.0352798053527,0.0,1.0196355913375088
3.59E7,209.71875,0.0010177161226359512,3.59E7,99.09859888579388,98.15227868938065,98.15202027824857,97.86334712945066,3.59E7,2.6632632E7,10776.0,6656.0,6656.0,15.0,3926.0352798053527,0.0,1.0196355913375088
3.6E7,210.921875,0.0010260261103717822,3.6E7,99.10023055555556,98.15561960342578,98.15537047459503,97.8671989851587,3.6E7,2.6698816E7,10793.0,6666.0,6666.0,15.0,3927.985598559856,0.0,1.019663341882081
3.61E7,211.625,0.0010308874061188873,3.61E7,99.10173130193905,98.15869804941325,98.15845692348073,97.870763712784,3.61E7,2.6725256E7,10817.0,6681.0,6681.0,15.0,3927.985598559856,0.0,1.019663341882081
3.62E7,212.3125,0.0010356496470113705,3.62E7,99.10325414364641,98.16181584268274,98.16158108715685,97.87435820084933,3.62E7,2.6775712E7,10831.0,6691.0,6691.0,15.0,3927.985598559856,0.0,1.019663341882081
3.63E7,213.03125,0.00104063308969166,3.63E7,99.10470523415978,98.16479501062084,98.16458259773641,97.87781697346789,3.63E7,2.6801184E7,10857.0,6710.0,6710.0,15.0,3927.985598559856,0.0,1.019663341882081
